Pais;Anio;Sector;Tamanio;Total_activos;Facturacion;Valor_bruto_agregado;Trabajadores;Solvencia;Apalancamiento;Liquidez;EBITDA_Ingresos_netos;Beneficio_econ_ingresos_netos;EBIT_Ingresos_netos;Rotacion_activos;Salarios_VA
FR;2012;C;3;534850440;561884672;106201399;1309462;269,23;169,23;52,73;6,88;2,38;4,55;105,05;76,85
FR;2012;F;1;55219328;73563409;25465536;484618;307,57;207,57;77,38;6,47;3,42;5,19;133,22;85,03
FR;2012;F;2;37997200;39731206;10282659;174014;456,56;356,57;77,71;5,33;3,17;4,38;104,56;84,99
FR;2012;F;3;61004419;60932102;15229186;245984;602,47;502,47;81,19;4,55;2,71;4,93;99,88;89,81
FR;2012;G;1;93271070;173521854;32683018;604650;281,53;181,53;68,66;4,3;2,95;3,49;186,04;78,99
FR;2012;G;2;94029274;218238026;27273327;479208;296,82;196,82;75,57;3,3;2,24;2,63;232,1;76,65
FR;2012;G;3;283803215;721643578;69021120;1126818;312,81;212,81;66,96;3,36;1,98;2,55;254,28;73,32
FR;2013;C;1;61356059;79355960;27363121;524362;238,61;138,61;71,35;6,61;3,31;4,48;129,34;82,69
FR;2013;C;2;87191242;113317739;30839724;513250;243,45;143,45;67,97;6,24;3,34;3,68;129,96;79,14
FR;2013;C;3;539062077;564546476;109567819;1307781;272,35;172,35;52,58;6,94;2,62;4,18;104,73;76,62
FR;2013;F;1;51380365;70683021;24655039;464718;288,08;188,08;75,95;6,91;3,52;5,49;137,57;84,97
FR;2013;F;2;34831522;38373270;10349126;173206;480;380,01;79,87;5,31;3,21;4,5;110,17;84,36
FR;2013;F;3;61257345;64229400;16059825;255336;589,49;489,49;81,68;4,7;2,81;4,56;104,85;88,74
FR;2013;G;1;95669462;174108599;32974011;596715;269,65;169,65;67,85;4,54;3,11;3,63;181,99;78,23
FR;2013;G;2;95072467;217207824;26997627;471092;286,35;186,35;75;3,26;2,26;2,58;228,47;76,89
FR;2013;G;3;294939150;750484578;68894575;1137549;300,26;200,26;66,97;3;1,84;2,19;254,45;74,21
FR;2014;C;1;62773117;79899010;27631251;519469;233,63;133,63;71,39;6,9;3,66;4,46;127,28;81,63
FR;2014;C;2;88761798;113088170;31043629;507193;238,37;138,37;68,18;6,64;3,45;4,13;127,41;78,21
FR;2014;C;3;542608687;590158775;111338438;1299866;284,83;184,83;53,69;7,56;2,25;5,14;108,76;75,88
FR;2014;F;1;48814498;69588374;24400917;455343;276,02;176,02;76,43;6,56;3,52;5,03;142,56;84,87
FR;2014;F;2;35231119;37255571;10152276;170641;451,8;351,8;76,84;5,51;3;3,98;105,75;85
FR;2014;F;3;64601538;65272306;16003268;250115;523,22;423,22;78,43;4,9;2,65;5,73;101,04;88,65
FR;2014;G;1;98702673;175506706;33256784;596562;259,77;159,77;67,6;4,47;3,13;3,61;177,81;78,31
FR;2014;G;2;97833583;216023120;27455642;470774;279,51;179,51;75,08;3,39;2,34;2,71;220,81;76,38
FR;2014;G;3;307089190;739479830;69884511;1155977;304,24;204,24;66,89;3,01;1,71;2,21;240,8;75,82
FR;2015;C;1;64696285;79304273;27605987;511424;227,09;127,09;70,87;7,24;3,79;5,06;122,58;81,3
FR;2015;C;2;91254051;113606415;31267773;504438;234,88;134,88;67,7;6,81;3,58;4,27;124,49;78,27
FR;2015;C;3;559170979;586272771;119561434;1279007;286,19;186,19;54,75;8,42;4,04;5,8;104,85;70,57
FR;2015;F;1;48169823;68082768;23965005;445819;263,34;163,34;77,39;6,16;3,42;4,57;141,34;85,06
FR;2015;F;2;33813613;36007619;9879036;162984;424,31;324,31;75,59;7,34;3,22;6,02;106,49;84,34
FR;2015;F;3;64501112;60063454;14994454;239295;557,29;457,29;75,34;4,66;2,3;4,14;93,12;91,41
FR;2015;G;1;101847030;178071537;33911519;598885;254,87;154,87;67,19;4,53;3,22;3,64;174,84;77,98
FR;2015;G;2;101761851;218085895;28067525;468726;279,42;179,42;75,43;3,56;2,47;2,83;214,31;75,48
FR;2015;G;3;323713778;769881245;71782277;1154123;304,24;204,24;66,23;2,95;1,79;2,21;237,83;74,93
FR;2016;C;1;65380739;79922743;27896753;510117;225,83;125,83;71,14;7,21;3,9;4,72;122,24;81,04
FR;2016;C;2;95136338;114963331;32333444;503587;227,87;127,87;67,88;7,33;4,04;4,63;120,84;76,36
FR;2016;C;3;586352973;588018877;124750388;1286283;283,05;183,05;55,2;8,78;4,53;6,4;100,28;68,69
FR;2016;F;1;49264338;69095736;24169684;441082;267,94;167,94;77,61;6,08;3,67;4,62;140,26;84,56
FR;2016;F;2;36625962;37186185;10052715;162868;422,95;322,95;76,4;6,62;3,07;5,86;101,53;85,04
FR;2016;F;3;68685818;60167181;14919737;241011;568,13;468,13;75,01;4,46;1,86;4,57;87,6;93,46
FR;2016;G;1;107196710;182358877;35184590;607765;244,71;144,71;66,6;4,77;3,47;3,9;170,12;77,1
FR;2016;G;2;106088973;223303483;28815394;473388;279,59;179,59;75,83;3,56;2,54;2,92;210,49;75,13
FR;2016;G;3;341486035;792246184;75133598;1187658;304,72;204,72;66,79;3,06;1,91;2,24;232;74,23
FR;2017;C;1;78618639;80122324;28022865;501372;243,21;143,21;70,15;7,59;4,08;4,68;101,91;79,95
FR;2017;C;2;96231526;115370114;31914315;495414;229,06;129,06;67,38;6,92;3,87;4,31;119,89;77,15
FR;2017;C;3;586866892;625427760;128520423;1285248;264,11;164,11;57,93;8,73;4,94;6,63;106,57;67,16
FR;2017;F;1;53993172;72022537;24934807;445083;272,24;172,24;77,13;6,45;3,98;5,06;133,39;83,45
FR;2017;F;2;38615543;39375544;10267145;164817;421,4;321,4;73,43;5,27;2,95;4,98;101,97;85,16
FR;2017;F;3;73996819;65638043;16214875;249203;537,52;437,52;74,28;4,15;2,7;3,88;88,7;89,91
FR;2017;G;1;110434285;185364974;35954175;613128;244,73;144,73;67,3;4,82;3,6;4,14;167,85;76,8
